DLL,Name,Ordinal,Hint
mk4vc22.dll,?GetAs@c4_Storage@@QAE?AVc4_View@@PBD@Z,,266
mk4vc22.dll,??0c4_Bytes@@QAE@ABV0@@Z,,0
mk4vc22.dll,?View@c4_Storage@@QAE?AVc4_ViewRef@@PBD@Z,,377
mk4vc22.dll,?InsertAt@c4_View@@QAEXHABV1@@Z,,284
mk4vc22.dll,?SetBuffer@c4_Bytes@@QAEPAEH@Z,,357
mk4vc22.dll,??1c4_Row@@QAE@XZ,,68
mk4vc22.dll,??0c4_Row@@QAE@XZ,,30
mk4vc22.dll,?Find@c4_View@@QBEHABVc4_RowRef@@H@Z,,251
mk4vc22.dll,??Bc4_StringRef@@QBEPBDXZ,,152
mk4vc22.dll,??1c4_Property@@QAE@XZ,,67
mk4vc22.dll,?DecRef@c4_Sequence@@QAEXXZ,,237
mk4vc22.dll,?Description@c4_Storage@@QAEPBDPBD@Z,,239
mk4vc22.dll,?Resize@c4_Sequence@@QAEXHH@Z,,335
mk4vc22.dll,??Bc4_IntRef@@QBEJXZ,,148
mk4vc22.dll,??4c4_IntRef@@QAEAAV0@J@Z,,98
mk4vc22.dll,??Bc4_DoubleRef@@QBENXZ,,146
mk4vc22.dll,??4c4_DoubleRef@@QAEAAV0@N@Z,,88
mk4vc22.dll,??4c4_StringRef@@QAEAAV0@PBD@Z,,114
mk4vc22.dll,??Bc4_ViewRef@@QBE?AVc4_View@@XZ,,153
mk4vc22.dll,??4c4_Reference@@QAEAAV0@ABV0@@Z,,103
mk4vc22.dll,??0c4_View@@QAE@ABV0@@Z,,51
mk4vc22.dll,??4c4_View@@QAEAAV0@ABV0@@Z,,115
mk4vc22.dll,?Add@c4_View@@QAEHABVc4_RowRef@@@Z,,203
mk4vc22.dll,??0c4_Row@@QAE@ABVc4_RowRef@@@Z,,29
mk4vc22.dll,?SetAt@c4_Sequence@@QAEXHVc4_Cursor@@@Z,,353
mk4vc22.dll,?FindPropIndexByName@c4_View@@QBEHPBD@Z,,253
mk4vc22.dll,??0c4_Property@@QAE@DPBD@Z,,26
mk4vc22.dll,?SetStructure@c4_Storage@@QAEXPBD@Z,,363
mk4vc22.dll,??1c4_Storage@@QAE@XZ,,70
mk4vc22.dll,??0c4_Storage@@QAE@PBDH@Z,,36
mk4vc22.dll,?Select@c4_View@@QBE?AV1@ABVc4_RowRef@@@Z,,343
mk4vc22.dll,??0c4_View@@QAE@PAVc4_Sequence@@@Z,,54
mk4vc22.dll,?AddProperty@c4_View@@QAEHABVc4_Property@@@Z,,204
mk4vc22.dll,??0c4_Property@@QAE@ABV0@@Z,,24
mk4vc22.dll,??4c4_Property@@QAEXABV0@@Z,,102
mk4vc22.dll,?Rollback@c4_Storage@@QAE_N_N@Z,,340
mk4vc22.dll,?Name@c4_Property@@QBEPBDXZ,,305
mk4vc22.dll,?Commit@c4_Storage@@QAE_N_N@Z,,219
oldfil.dll,?read_rge@@YAHPAUIRastr@@PBD@Z,,7
oldfil.dll,?read_cxe@@YAHPAUIRastr@@PBD@Z,,3
oldfil.dll,?calc_zamer@@YAHPAUIRastr@@J@Z,,0
oldfil.dll,?read_m_ssp@@YAHPAUIRastr@@PAD@Z,,5
oldfil.dll,?write_m_ssp@@YAHPAUIRastr@@PAD@Z,,9
oldfil.dll,?read_psse@@YAHPAUIRastr@@PAD@Z,,6
oldfil.dll,?write_psse@@YAHPAUIRastr@@PAD@Z,,10
oldfil.dll,?read_eurostag@@YAHPAUIRastr@@PAD@Z,,4
oldfil.dll,?write_eurostag@@YAHPAUIRastr@@PADJ@Z,,8
oldfil.dll,?read_Tkz3000_@@YAHPAUIRastr@@PA_W@Z,,2
oldfil.dll,?combine_files@@YAHPAUIRastr@@@Z,,1
WINMM.dll,timeGetTime,,148
WS2_32.dll,connect,4,None
WS2_32.dll,htons,9,None
WS2_32.dll,inet_addr,11,None
WS2_32.dll,send,19,None
WS2_32.dll,socket,23,None
WS2_32.dll,WSAStartup,115,None
WS2_32.dll,WSACleanup,116,None
WS2_32.dll,closesocket,3,None
KERNEL32.dll,EnumSystemLocalesW,,343
KERNEL32.dll,GetUserDefaultLCID,,789
KERNEL32.dll,IsValidLocale,,913
KERNEL32.dll,GetLocaleInfoW,,616
KERNEL32.dll,LCMapStringW,,949
KERNEL32.dll,CompareStringW,,158
KERNEL32.dll,GetTimeFormatW,,783
KERNEL32.dll,GetDateFormatW,,548
KERNEL32.dll,SetFilePointerEx,,1317
KERNEL32.dll,HeapValidate,,852
KERNEL32.dll,ExitProcess,,353
KERNEL32.dll,GetConsoleOutputCP,,515
KERNEL32.dll,ReadConsoleW,,1138
KERNEL32.dll,GetConsoleMode,,511
KERNEL32.dll,GetFileType,,593
KERNEL32.dll,SetStdHandle,,1358
KERNEL32.dll,SystemTimeToTzSpecificLocalTime,,1421
KERNEL32.dll,GetModuleHandleExW,,634
KERNEL32.dll,FreeLibraryAndExitThread,,431
KERNEL32.dll,ExitThread,,354
KERNEL32.dll,CreateThread,,246
KERNEL32.dll,VirtualQuery,,1490
KERNEL32.dll,VirtualProtect,,1488
KERNEL32.dll,VirtualAlloc,,1482
KERNEL32.dll,LoadLibraryExW,,967
KERNEL32.dll,TlsFree,,1443
KERNEL32.dll,TlsSetValue,,1445
KERNEL32.dll,TlsGetValue,,1444
KERNEL32.dll,TlsAlloc,,1442
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,,866
KERNEL32.dll,InterlockedFlushSList,,879
KERNEL32.dll,InterlockedPushEntrySList,,882
KERNEL32.dll,RtlUnwind,,1237
KERNEL32.dll,GetStartupInfoW,,723
KERNEL32.dll,InitializeSListHead,,870
KERNEL32.dll,SetUnhandledExceptionFilter,,1393
KERNEL32.dll,UnhandledExceptionFilter,,1457
KERNEL32.dll,GetCPInfo,,452
KERNEL32.dll,CompareStringEx,,156
KERNEL32.dll,GetStringTypeW,,730
KERNEL32.dll,EncodePointer,,304
KERNEL32.dll,DecodePointer,,268
KERNEL32.dll,CloseHandle,,137
KERNEL32.dll,RaiseException,,1124
KERNEL32.dll,GetLastError,,612
KERNEL32.dll,HeapDestroy,,843
KERNEL32.dll,HeapAlloc,,840
KERNEL32.dll,HeapReAlloc,,847
KERNEL32.dll,HeapFree,,844
KERNEL32.dll,HeapSize,,849
KERNEL32.dll,GetProcessHeap,,695
KERNEL32.dll,EnterCriticalSection,,308
KERNEL32.dll,LeaveCriticalSection,,961
KERNEL32.dll,InitializeCriticalSectionEx,,867
KERNEL32.dll,DeleteCriticalSection,,275
KERNEL32.dll,CreateEventA,,191
KERNEL32.dll,IsProcessorFeaturePresent,,905
KERNEL32.dll,DisableThreadLibraryCalls,,289
KERNEL32.dll,FreeLibrary,,430
KERNEL32.dll,GetModuleFileNameA,,630
KERNEL32.dll,GetModuleHandleA,,632
KERNEL32.dll,GetModuleHandleW,,635
KERNEL32.dll,GetProcAddress,,689
KERNEL32.dll,LoadLibraryExA,,966
KERNEL32.dll,LoadResource,,971
KERNEL32.dll,SizeofResource,,1408
KERNEL32.dll,LoadLibraryA,,965
KERNEL32.dll,lstrcmpiA,,1590
KERNEL32.dll,FindResourceA,,406
KERNEL32.dll,MultiByteToWideChar,,1011
KERNEL32.dll,WideCharToMultiByte,,1538
KERNEL32.dll,IsDBCSLeadByte,,896
KERNEL32.dll,SetEvent,,1304
KERNEL32.dll,ResetEvent,,1224
KERNEL32.dll,WaitForSingleObject,,1499
KERNEL32.dll,GetExitCodeThread,,576
